id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
1164,Quelle commande change les permissions d'un fichier ? (v14),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1165,Quelle commande montre l'utilisation disque ? (v14),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1184,Quelle commande affiche les processus en cours ? (v21),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1185,Quelle commande change les permissions d'un fichier ? (v21),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1186,Quelle commande montre l'utilisation disque ? (v21),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1205,Quelle commande affiche les processus en cours ? (v28),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1206,Quelle commande change les permissions d'un fichier ? (v28),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1207,Quelle commande montre l'utilisation disque ? (v28),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1226,Quelle commande affiche les processus en cours ? (v35),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1227,Quelle commande change les permissions d'un fichier ? (v35),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1228,Quelle commande montre l'utilisation disque ? (v35),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1247,Quelle commande affiche les processus en cours ? (v42),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1248,Quelle commande change les permissions d'un fichier ? (v42),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1249,Quelle commande montre l'utilisation disque ? (v42),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1268,Quelle commande affiche les processus en cours ? (v49),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1269,Quelle commande change les permissions d'un fichier ? (v49),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1270,Quelle commande montre l'utilisation disque ? (v49),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1289,Quelle commande affiche les processus en cours ? (v56),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1290,Quelle commande change les permissions d'un fichier ? (v56),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1291,Quelle commande montre l'utilisation disque ? (v56),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1310,Quelle commande affiche les processus en cours ? (v63),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1311,Quelle commande change les permissions d'un fichier ? (v63),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1312,Quelle commande montre l'utilisation disque ? (v63),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1331,Quelle commande affiche les processus en cours ? (v70),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1332,Quelle commande change les permissions d'un fichier ? (v70),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1333,Quelle commande montre l'utilisation disque ? (v70),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1352,Quelle commande affiche les processus en cours ? (v77),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1353,Quelle commande change les permissions d'un fichier ? (v77),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1354,Quelle commande montre l'utilisation disque ? (v77),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1373,Quelle commande affiche les processus en cours ? (v84),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1374,Quelle commande change les permissions d'un fichier ? (v84),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1375,Quelle commande montre l'utilisation disque ? (v84),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1394,Quelle commande affiche les processus en cours ? (v91),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1395,Quelle commande change les permissions d'un fichier ? (v91),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1396,Quelle commande montre l'utilisation disque ? (v91),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1415,Quelle commande affiche les processus en cours ? (v98),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1416,Quelle commande change les permissions d'un fichier ? (v98),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1417,Quelle commande montre l'utilisation disque ? (v98),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1436,Quelle commande affiche les processus en cours ? (v105),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1437,Quelle commande change les permissions d'un fichier ? (v105),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1438,Quelle commande montre l'utilisation disque ? (v105),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1457,Quelle commande affiche les processus en cours ? (v112),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1458,Quelle commande change les permissions d'un fichier ? (v112),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1459,Quelle commande montre l'utilisation disque ? (v112),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1478,Quelle commande affiche les processus en cours ? (v119),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1479,Quelle commande change les permissions d'un fichier ? (v119),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1480,Quelle commande montre l'utilisation disque ? (v119),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1499,Quelle commande affiche les processus en cours ? (v126),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1500,Quelle commande change les permissions d'un fichier ? (v126),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1501,Quelle commande montre l'utilisation disque ? (v126),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1520,Quelle commande affiche les processus en cours ? (v133),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1521,Quelle commande change les permissions d'un fichier ? (v133),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1522,Quelle commande montre l'utilisation disque ? (v133),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1541,Quelle commande affiche les processus en cours ? (v140),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1542,Quelle commande change les permissions d'un fichier ? (v140),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1543,Quelle commande montre l'utilisation disque ? (v140),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1562,Quelle commande affiche les processus en cours ? (v147),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1563,Quelle commande change les permissions d'un fichier ? (v147),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1564,Quelle commande montre l'utilisation disque ? (v147),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1583,Quelle commande affiche les processus en cours ? (v154),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1584,Quelle commande change les permissions d'un fichier ? (v154),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1585,Quelle commande montre l'utilisation disque ? (v154),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1604,Quelle commande affiche les processus en cours ? (v161),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1605,Quelle commande change les permissions d'un fichier ? (v161),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1606,Quelle commande montre l'utilisation disque ? (v161),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1625,Quelle commande affiche les processus en cours ? (v168),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1626,Quelle commande change les permissions d'un fichier ? (v168),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1627,Quelle commande montre l'utilisation disque ? (v168),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1646,Quelle commande affiche les processus en cours ? (v175),ps aux,ls -la,top -n 1,pwd,A,ps aux liste les processus; top est interactif.,Linux - Commandes,Moyen
1647,Quelle commande change les permissions d'un fichier ? (v175),chmod,chown,chgrp,umask,A,chmod modifie les permissions.,Linux - Commandes,Moyen
1648,Quelle commande montre l'utilisation disque ? (v175),df -h,du -sh,lsblk,mount,A,df -h affiche l'espace disque utilisé des systèmes montés.,Linux - Commandes,Moyen
1661,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v0),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1662,Adresse IPv4 privée classique ? (v0),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1663,Que signifie DNS ? (v0),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1664,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ?,DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1665,Adresse IPv4 privée classique ?,192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1666,Que signifie DNS ?,Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1676,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v5),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1677,Adresse IPv4 privée classique ? (v5),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1678,Que signifie DNS ? (v5),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1691,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v10),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1692,Adresse IPv4 privée classique ? (v10),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1693,Que signifie DNS ? (v10),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1706,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v15),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1707,Adresse IPv4 privée classique ? (v15),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1708,Que signifie DNS ? (v15),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1721,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v20),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1722,Adresse IPv4 privée classique ? (v20),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1723,Que signifie DNS ? (v20),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1736,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v25),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1737,Adresse IPv4 privée classique ? (v25),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1738,Que signifie DNS ? (v25),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1751,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v30),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1752,Adresse IPv4 privée classique ? (v30),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1753,Que signifie DNS ? (v30),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1766,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v35),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1767,Adresse IPv4 privée classique ? (v35),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1768,Que signifie DNS ? (v35),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1781,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v40),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1782,Adresse IPv4 privée classique ? (v40),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1783,Que signifie DNS ? (v40),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1796,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v45),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1797,Adresse IPv4 privée classique ? (v45),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1798,Que signifie DNS ? (v45),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1811,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v50),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1812,Adresse IPv4 privée classique ? (v50),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1813,Que signifie DNS ? (v50),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1826,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v55),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1827,Adresse IPv4 privée classique ? (v55),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1828,Que signifie DNS ? (v55),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1841,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v60),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1842,Adresse IPv4 privée classique ? (v60),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1843,Que signifie DNS ? (v60),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1856,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v65),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1857,Adresse IPv4 privée classique ? (v65),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1858,Que signifie DNS ? (v65),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1871,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v70),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1872,Adresse IPv4 privée classique ? (v70),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1873,Que signifie DNS ? (v70),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1886,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v75),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1887,Adresse IPv4 privée classique ? (v75),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1888,Que signifie DNS ? (v75),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1901,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v80),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1902,Adresse IPv4 privée classique ? (v80),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1903,Que signifie DNS ? (v80),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1916,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v85),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1917,Adresse IPv4 privée classique ? (v85),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1918,Que signifie DNS ? (v85),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1931,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v90),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1932,Adresse IPv4 privée classique ? (v90),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1933,Que signifie DNS ? (v90),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1946,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v95),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1947,Adresse IPv4 privée classique ? (v95),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1948,Que signifie DNS ? (v95),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1961,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v100),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1962,Adresse IPv4 privée classique ? (v100),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1963,Que signifie DNS ? (v100),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1976,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v105),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1977,Adresse IPv4 privée classique ? (v105),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1978,Que signifie DNS ? (v105),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
1991,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v110),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
1992,Adresse IPv4 privée classique ? (v110),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
1993,Que signifie DNS ? (v110),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
2006,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v115),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
2007,Adresse IPv4 privée classique ? (v115),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
2008,Que signifie DNS ? (v115),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
2021,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v120),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
2022,Adresse IPv4 privée classique ? (v120),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
2023,Que signifie DNS ? (v120),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
2036,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v125),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
2037,Adresse IPv4 privée classique ? (v125),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
2038,Que signifie DNS ? (v125),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
2051,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v130),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
2052,Adresse IPv4 privée classique ? (v130),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
2053,Que signifie DNS ? (v130),Domain Name System,Distributed Name Service,Dynamic Network Service,Direct Name Server,A,DNS = Domain Name System.,Réseau - DNS,Moyen
2066,Quel protocole est utilisé pour obtenir une adresse IP automatiquement ? (v135),DHCP,DNS,ARP,ICMP,A,DHCP attribue des adresses IP.,Réseau - Protocoles,Moyen
2067,Adresse IPv4 privée classique ? (v135),192.168.1.0,8.8.8.8,1.1.1.1,172.217.0.0,A,192.168.0.0/16 est une plage privée.,Réseau - Adresses,Moyen
