id,question,option_a,option_b,option_c,option_d,correct_option,explanation,topic,difficulty
14,La notion d'héritage en Merise est généralement modélisée par : (v2),Spécialisation / généralisation,Association forte,Attribut dérivé,Clé étrangère circulaire,A,Héritage = spécialisation/généralisation.,Merise - Héritage,Moyen
15,Une association binaire relie :,Deux entités,Trois entités,Deux attributs,Un attribut et une entité,A,Binaire signifie entre deux entités.,Merise - Associations,Moyen
16,Une association binaire relie : (v2),Deux entités,Trois entités,Deux attributs,Un attribut et une entité,A,Binaire signifie entre deux entités.,Merise - Associations,Moyen
17,La règle de minimisation des redondances vise à :,Éviter la duplication de données,Multiplier les index,Créer plus d'associations,Générer des vues,A,Éviter la duplication améliore intégrité et maintenance.,Merise - Conception,Moyen
18,La règle de minimisation des redondances vise à : (v2),Éviter la duplication de données,Multiplier les index,Créer plus d'associations,Générer des vues,A,Éviter la duplication améliore intégrité et maintenance.,Merise - Conception,Moyen
19,Le MLD sert à :,Décrire la structure logique adaptée au SGBD,Spécifier l'interface utilisateur,Définir la politique de sécurité,Présenter le budget,A,MLD = modèle logique prêt pour implémentation.,Merise - MLD,Moyen
20,Le MLD sert à : (v2),Décrire la structure logique adaptée au SGBD,Spécifier l'interface utilisateur,Définir la politique de sécurité,Présenter le budget,A,MLD = modèle logique prêt pour implémentation.,Merise - MLD,Moyen
21,Comment représente-t-on une association ternaire en MCD ?,Un losange lié à trois entités,Trois rectangles connectés,Une ligne pointillée,Un attribut multi-valué,A,Association ternaire relie trois entités via un losange.,Merise - Associations,Moyen
22,Comment représente-t-on une association ternaire en MCD ? (v2),Un losange lié à trois entités,Trois rectangles connectés,Une ligne pointillée,Un attribut multi-valué,A,Association ternaire relie trois entités via un losange.,Merise - Associations,Moyen
23,Quel est l'intérêt d'un dictionnaire de données ?,Centraliser définitions et formats,Remplacer le MCD,Générer automatiquement l'UI,Exécuter requêtes,A,"Le dictionnaire de données documente les éléments (formats, sens).",Merise - Documentation,Moyen
24,Quel est l'intérêt d'un dictionnaire de données ? (v2),Centraliser définitions et formats,Remplacer le MCD,Générer automatiquement l'UI,Exécuter requêtes,A,"Le dictionnaire de données documente les éléments (formats, sens).",Merise - Documentation,Moyen
25,"Lors de la conversion MCD -> MLD, une association 1,N devient souvent :",Une clé étrangère dans la table du côté N,Une table d'association supplémentaire,Un attribut dérivé,Une procédure stockée,A,La clé étrangère est placée côté N.,Merise - Conversion,Moyen
26,"Lors de la conversion MCD -> MLD, une association 1,N devient souvent : (v2)",Une clé étrangère dans la table du côté N,Une table d'association supplémentaire,Un attribut dérivé,Une procédure stockée,A,La clé étrangère est placée côté N.,Merise - Conversion,Moyen
27,Un attribut obligatoire se note souvent par :,Un petit rond plein (ou absence de cercle),Un rond vide,Une ligne pointillée,Un losange,A,Notation visuelle: obligatoire vs optionnel.,Merise - Notation,Moyen
28,Un attribut obligatoire se note souvent par : (v2),Un petit rond plein (ou absence de cercle),Un rond vide,Une ligne pointillée,Un losange,A,Notation visuelle: obligatoire vs optionnel.,Merise - Notation,Moyen
29,La cardinalité minimale 1 indique :,Que la participation est obligatoire,Que la participation est facultative,Qu'il n'y a pas de participation,Qu'il y a exactement zéro,A,Minimale = 1 signifie participation obligatoire.,Merise - Cardinalités,Moyen
30,La cardinalité minimale 1 indique : (v2),Que la participation est obligatoire,Que la participation est facultative,Qu'il n'y a pas de participation,Qu'il y a exactement zéro,A,Minimale = 1 signifie participation obligatoire.,Merise - Cardinalités,Moyen
31,"Dans Merise, quel niveau représente les règles métier et le vocabulaire de l'entreprise ?",Niveau conceptuel,Niveau physique,Niveau matériel,Niveau réseau,A,Le niveau conceptuel (MCD) formalise le vocabulaire et les règles métier.,Merise - Concepts,Moyen
121,Quel mot-clé SQL permet de retirer les doublons dans une sélection ?,DISTINCT,UNIQUE,GROUP BY,HAVING,A,DISTINCT élimine les doublons dans les résultats.,SQL - SELECT,Moyen
122,Quelle clause suit directement FROM dans une requête SELECT pour filtrer les lignes ?,WHERE,GROUP BY,ORDER BY,HAVING,A,WHERE filtre les lignes avant l'agrégation.,SQL - Clauses,Moyen
123,Quelle clause est utilisée pour regrouper les résultats ?,GROUP BY,ORDER BY,HAVING,DISTINCT,A,GROUP BY regroupe les lignes selon des colonnes.,SQL - Agrégation,Moyen
124,Quelle clause permet de filtrer les groupes après agrégation ?,HAVING,WHERE,GROUP BY,ORDER BY,A,HAVING filtre les groupes créés par GROUP BY.,SQL - Agrégation,Moyen
125,Quel opérateur sert à tester la présence d'une valeur dans une liste ?,IN,BETWEEN,LIKE,EXISTS,A,IN teste l'appartenance à une liste de valeurs.,SQL - Opérateurs,Moyen
126,Quel mot-clé supprime une table si elle existe ?,DROP TABLE IF EXISTS,DELETE TABLE,REMOVE TABLE,TRUNCATE IF EXISTS,A,DROP TABLE IF EXISTS supprime la table si présente.,SQL - DDL,Moyen
127,Quelle commande ajoute une colonne à une table en SQL standard ?,ALTER TABLE ... ADD COLUMN,UPDATE TABLE ... ADD,INSERT COLUMN INTO,CREATE COLUMN IN,A,ALTER TABLE ... ADD COLUMN ajoute une colonne.,SQL - DDL,Moyen
128,Quel type de jointure retourne toutes les lignes de la table gauche et les correspondances de la table droite ?,LEFT JOIN,INNER JOIN,RIGHT JOIN,FULL JOIN,A,LEFT JOIN (= LEFT OUTER JOIN) retourne tout côté gauche.,SQL - JOIN,Moyen
129,INNER JOIN entre deux tables retourne :,Seulement les lignes correspondantes dans les deux tables,Toutes les lignes de la table de gauche,Toutes les lignes de la table de droite,Aucune ligne,A,INNER JOIN produit l'intersection des deux tables selon la condition.,SQL - JOIN,Moyen
130,Quel mot-clé limite le nombre de lignes retournées ?,LIMIT,OFFSET,FETCH,TOP,A,LIMIT (ou TOP/FETCH selon SGBD) restreint le nombre de lignes.,SQL - Pagination,Moyen
131,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v0),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
132,Quel mot-clé modifie des lignes existantes dans une table ? (v0),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
133,La contrainte UNIQUE assure : (v0),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
134,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v0),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
135,La transaction ACID 'I' signifie : (v0),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
136,Quel niveau d'isolation permet les lectures non répétables ? (v0),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
137,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v0),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
138,Quelle clause permet de trier le résultat ? (v0),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
139,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v0),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
140,Quel mot-clé restaure les permissions par défaut sur une table ? (v0),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
141,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ?,0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
142,Quel mot-clé modifie des lignes existantes dans une table ?,UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
143,La contrainte UNIQUE assure :,Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
144,Quel type d'index est le plus adapté pour les recherches par préfixe ?,Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
145,La transaction ACID 'I' signifie :,Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
146,Quel niveau d'isolation permet les lectures non répétables ?,READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
147,Quel mot-clé est utilisé pour rechercher un motif en SQL ?,LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
148,Quelle clause permet de trier le résultat ?,ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
149,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ?,Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
150,Quel mot-clé restaure les permissions par défaut sur une table ?,REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
161,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v3),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
162,Quel mot-clé modifie des lignes existantes dans une table ? (v3),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
163,La contrainte UNIQUE assure : (v3),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
164,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v3),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
165,La transaction ACID 'I' signifie : (v3),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
166,Quel niveau d'isolation permet les lectures non répétables ? (v3),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
167,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v3),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
168,Quelle clause permet de trier le résultat ? (v3),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
169,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v3),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
170,Quel mot-clé restaure les permissions par défaut sur une table ? (v3),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
191,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v6),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
192,Quel mot-clé modifie des lignes existantes dans une table ? (v6),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
193,La contrainte UNIQUE assure : (v6),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
194,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v6),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
195,La transaction ACID 'I' signifie : (v6),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
196,Quel niveau d'isolation permet les lectures non répétables ? (v6),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
197,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v6),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
198,Quelle clause permet de trier le résultat ? (v6),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
199,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v6),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
200,Quel mot-clé restaure les permissions par défaut sur une table ? (v6),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
221,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v9),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
222,Quel mot-clé modifie des lignes existantes dans une table ? (v9),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
223,La contrainte UNIQUE assure : (v9),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
224,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v9),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
225,La transaction ACID 'I' signifie : (v9),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
226,Quel niveau d'isolation permet les lectures non répétables ? (v9),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
227,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v9),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
228,Quelle clause permet de trier le résultat ? (v9),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
229,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v9),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
230,Quel mot-clé restaure les permissions par défaut sur une table ? (v9),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
251,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v12),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
252,Quel mot-clé modifie des lignes existantes dans une table ? (v12),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
253,La contrainte UNIQUE assure : (v12),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
254,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v12),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
255,La transaction ACID 'I' signifie : (v12),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
256,Quel niveau d'isolation permet les lectures non répétables ? (v12),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
257,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v12),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
258,Quelle clause permet de trier le résultat ? (v12),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
259,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v12),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
260,Quel mot-clé restaure les permissions par défaut sur une table ? (v12),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
281,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v15),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
282,Quel mot-clé modifie des lignes existantes dans une table ? (v15),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
283,La contrainte UNIQUE assure : (v15),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
284,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v15),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
285,La transaction ACID 'I' signifie : (v15),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
286,Quel niveau d'isolation permet les lectures non répétables ? (v15),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
287,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v15),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
288,Quelle clause permet de trier le résultat ? (v15),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
289,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v15),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
290,Quel mot-clé restaure les permissions par défaut sur une table ? (v15),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
311,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v18),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
312,Quel mot-clé modifie des lignes existantes dans une table ? (v18),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
313,La contrainte UNIQUE assure : (v18),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
314,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v18),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
315,La transaction ACID 'I' signifie : (v18),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
316,Quel niveau d'isolation permet les lectures non répétables ? (v18),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
317,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v18),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
318,Quelle clause permet de trier le résultat ? (v18),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
319,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v18),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
320,Quel mot-clé restaure les permissions par défaut sur une table ? (v18),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
341,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v21),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
342,Quel mot-clé modifie des lignes existantes dans une table ? (v21),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
343,La contrainte UNIQUE assure : (v21),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
344,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v21),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
345,La transaction ACID 'I' signifie : (v21),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
346,Quel niveau d'isolation permet les lectures non répétables ? (v21),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
347,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v21),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
348,Quelle clause permet de trier le résultat ? (v21),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
349,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v21),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
350,Quel mot-clé restaure les permissions par défaut sur une table ? (v21),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
371,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v24),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
372,Quel mot-clé modifie des lignes existantes dans une table ? (v24),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
373,La contrainte UNIQUE assure : (v24),Valeurs distinctes dans la colonne,Valeurs non nulles,Valeur par défaut,Supprime les doublons,A,UNIQUE empêche la duplication de valeurs.,SQL - Contraintes,Moyen
374,Quel type d'index est le plus adapté pour les recherches par préfixe ? (v24),Index B-tree,Index bitmap,Hash index,Index spatial,A,B-tree est couramment utilisé pour préfixes et range scans.,SQL - Index,Moyen
375,La transaction ACID 'I' signifie : (v24),Isolation,Intégrité,Implémentation,Instruction,A,"A=Atomicity, C=Consistency, I=Isolation, D=Durability.",SQL - Transactions,Moyen
376,Quel niveau d'isolation permet les lectures non répétables ? (v24),READ COMMITTED,SERIALIZABLE,REPEATABLE READ,READ UNCOMMITTED,A,READ COMMITTED autorise non-répétables; SERIALIZABLE est le plus strict.,SQL - Transactions,Moyen
377,Quel mot-clé est utilisé pour rechercher un motif en SQL ? (v24),LIKE,MATCH,SEARCH,PATTERN,A,LIKE utilise % et _ pour motif.,SQL - Opérateurs,Moyen
378,Quelle clause permet de trier le résultat ? (v24),ORDER BY,GROUP BY,HAVING,WHERE,A,ORDER BY trie les lignes.,SQL - Clauses,Moyen
379,Quel est le rôle d'une clé étrangère (FOREIGN KEY) ? (v24),Assurer la référence entre tables,Accélérer les requêtes,Générer des index automatiques,Stocker des logs,A,FOREIGN KEY garantit l'intégrité référentielle.,SQL - Contraintes,Moyen
380,Quel mot-clé restaure les permissions par défaut sur une table ? (v24),REVOKE,GRANT,RESET,RESTORE,A,REVOKE retire des permissions précédemment GRANTées.,SQL - Sécurité,Moyen
401,Quel est le résultat de SELECT COUNT(*) FROM table WHERE 1=0 ? (v27),0,1,NULL,Erreur,A,COUNT retourne 0 si aucune ligne ne correspond.,SQL - Fonctions,Moyen
402,Quel mot-clé modifie des lignes existantes dans une table ? (v27),UPDATE,ALTER,MODIFY,CHANGE,A,UPDATE modifie les lignes.,SQL - DML,Moyen
